Iter  Residual
1  2.56117
2  2.38153
3  2.54159
4  17.2278
5  1.86509
6  1.81854
7  1.82939
8  1.77645
9  1.69113
10  1.55719
11  1.36447
12  1.10086
13  0.943206
14  0.839649
15  0.754499
16  0.690112
17  0.69911
18  0.552748
19  0.516674
20  0.502784
21  0.491516
22  0.477842
23  0.46632
24  0.45633
25  0.442648
26  0.426867
27  0.406597
28  0.379875
29  0.359735
30  0.334973
31  0.299459
32  0.297897
33  0.258381
34  0.240678
35  0.200297
36  0.15082
37  0.151958
38  0.122461
39  0.0679461
40  0.0788705
41  0.0718484
42  0.0543435
43  0.0426914
44  0.0491281
45  0.0319111
46  0.025605
47  0.0172844
48  0.0194484
49  0.0149972
50  0.012711
51  0.0103028
52  0.0129925
53  0.00601842
54  0.00392566
55  0.00287226
56  0.00194341
57  0.00125481
58  0.000779952
59  0.000417541
60  0.000440729
61  0.000279384
62  0.000230941
63  0.000167002
64  0.000256439
65  0.000103603
66  8.3083e-005
67  6.79462e-005
68  4.58018e-005
69  4.59866e-005
70  3.44889e-005
71  2.37727e-005
72  1.23428e-005
73  1.22658e-005
74  7.93445e-006
75  4.45673e-006
76  2.82997e-006
77  1.72262e-006
78  0.000428021
79  9.45613e-007
80  8.15037e-007
81  5.71116e-007
82  3.46771e-007
83  1.98602e-007
84  1.61062e-007
85  1.55712e-007
86  1.73269e-007
87  1.77573e-007
88  1.6946e-007
89  8.34734e-008
90  2.09365e-008
91  3.20153e-008
92  1.16473e-008
93  8.31413e-009
94  5.20729e-009
95  4.12341e-009
96  3.47601e-009
97  3.43013e-009
98  2.83886e-009
99  2.18734e-009
100  2.11777e-009
101  2.05807e-009
102  2.24942e-009
103  4.7478e-010
104  4.85345e-010
105  5.79832e-010
106  6.84913e-010
107  7.85969e-010
108  3.14008e-010
109  4.20658e-010
110  1.43081e-010
111  2.46668e-009
112  4.06462e-011
113  2.15714e-011
114  1.54286e-011
115  2.06206e-011
116  5.84834e-012
117  3.00853e-012
118  1.66544e-012
119  1.57551e-012
120  5.12885e-012
121  5.15542e-012
122  8.53993e-012
123  1.73543e-012
124  1.5396e-013
